DamageId,Id,TimePeriod,projectworkflowstageid,x,y
141564,84190,14,3,-7361847.46815473,2082255.023127755
141560,84191,14,2,-7364430.080341132,2084082.1254969183
141547,84192,14,2,-7367619.049793891,2072941.0647988056
138968,84193,14,6,-7361094.725757988,2083252.7237319709
139118,84195,14,2,-7337520.819831678,2081274.4973759344
139149,84196,14,2,-7338886.487344731,2083744.7296684296
175325,84197,14,2,-7337381.113870731,2084450.7333586027
138985,84198,14,2,-7369082.344500369,2082995.2289747945
290829,84199,14,2,-7368353.090516182,2081016.5586106912
138996,84200,14,2,-7366196.498021041,2086373.4221626602
136376,84201,14,6,-7369154.5908498885,2075552.6414739273
138986,84205,14,-1,-7364393.122270193,2084187.357545706
136324,84206,14,6,-7369123.64403145,2075477.7087427035
209021,84207,14,-1,-7364293.046047969,2084078.8406703249
136390,84216,14,6,-7369095.925478243,2075423.5321986303
138977,84225,14,-1,-7364293.046047969,2084078.8406703249
405391,84227,14,2,-7364408.818318393,2083970.9109506207
136565,84229,14,2,-7334805.626131735,2069794.8844794363
141737,84231,14,1,-7347484.582174618,2089750.889888278
249073,84232,14,1,-7349838.432807441,2089320.578637547
178764,84237,14,6,-7479558.59015088,2046571.7784839883
178576,84238,14,1,-7477259.286068548,2051055.1889129712
178759,84240,14,-1,-7475859.55479131,2044040.5938122352
178771,84246,14,2,-7474708.84521498,2046991.8187777582
178720,84247,14,-1,-7474764.616279867,2046796.142401417
174786,84252,14,1,-7384442.875756965,2064525.9609695487
133967,84262,14,3,-7343722.985261221,2084434.8955178354
178734,84267,14,6,-7475562.554389877,2048272.8366098239
178731,84268,14,6,-7477360.364166186,2040699.606942231
136491,84270,14,1,,
139141,84272,14,1,-7333716.921511779,2069504.1497031548
174812,84273,14,1,-7333495.173086116,2073154.462285942
178730,84280,14,2,-7476870.558406698,2040976.1189799134
131408,84281,14,3,,
137239,84282,14,2,-7344206.334490247,2081831.557797065
141796,84283,14,2,-7344871.468447741,2084972.6851462796
141793,84284,14,2,-7348688.947745513,2087809.3400745944
139139,84285,14,1,-7336310.665647263,2081852.3202949776
133945,84286,14,1,-7333446.303829661,2075353.2905311002
178813,84290,14,1,-7474702.945281971,2048038.853718084
178717,84291,14,6,-7478159.638110083,2050705.2221084135
178578,84292,14,6,-7479193.128262605,2044547.1102576705
141798,84293,14,-1,-7341608.026255639,2083712.5858534495
131537,84295,14,2,-7343444.018617296,2082085.1667170192
175039,84298,14,2,-7335665.012600659,2081864.050529205
133953,84299,14,6,-7333572.206173746,2069046.9542259006
