,id,title,diseno,ncValue,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16
0,107107.0,Pedro Cuco Ortiz Indoor Basketball Court,Diseño,35,"42nd Street Block 26, Sierra Bayamon, Bayamon, Puerto Rico",18.381533,-66.132601,MBAY072 Small Projects SP 23,PA-02-PR-4339-PW-05076,259889,233900,0,25989,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,30/09/2020,Proyecto 428
2,107107.0,Joaquin Montesino Parking Lot,Construcción,N/A,"6th Street, Flamingo Hills, Bayamon, Puerto Rico",18.397108,-66.155801,MBAY060 Small Projects SP 14,PA-02-PR-4339-PW-04998,68361,61525,61525,6836,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,06/08/2020,Proyecto 428
4,107107.0,Dajao Parcel Indoor Basketball Court,Construcción,N/A,,18.302115,-66.184448,MBAY075 Small Projects SP 26,PA-02-PR-4339-PW-05067,27906,25115,25115,2791,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,05/06/2020,Proyecto 428
6,107107.0,Rio Bayamon Community Recreation Complex,Adquisición de construcción,,"42nd Street Block 26, Sierra Bayamon, Bayamon, Puerto Rico",18.390038,-66.125839,MBAY072 Small Projects SP 23,PA-02-PR-4339-PW-05076,259889,233900,0,25989,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,30/09/2020,Proyecto 428
8,107107.0,Gimnasio Femenino Loiza Valley (Gym),Construcción,N/A,,18.373174,-65.914071,MCAN005 Loiza Valley Sports Centers,PA-02-PR-4339-PW-05439,61367,55230,55230,6137,Canóvanas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,25/09/2020,Proyecto 428
10,107107.0,Centro  Comunal Rubén Sanchez,Construcción,N/A,,18.394232,-65.926339,MCAN036 Community Center 2,PA-02-PR-4339-PW-06042,49456,44510,44510,4946,Canóvanas,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,06/08/2020,Proyecto 428
12,107107.0,Cancha Baloncesto Bo. La Central Sector Pueblo Indio,Construcción,60,,18.40025,-65.912816,MCAN010 La Central Community Facilities,PA-02-PR-4339-PW-06318,778993,701094,175274,77899,Canóvanas,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,14/01/2022,Proyecto 428
14,107107.0,Park San Miguel- Fence,Construcción,N/A,,18.387843,-66.197593,MBAY084 Small Projects SP 34,PA-02-PR-4339-PW-05264,98858,88972,88972,9886,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,29/07/2020,Proyecto 428
16,107107.0,Rexville Community Center,Construcción,N/A,,18.370975,-66.191042,MBAY073 Small Projects SP 24,PA-02-PR-4339-PW-05361,71212,64091,64091,7121,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,23/07/2020,Proyecto 428
18,107107.0,Rio Hondo House Complex Recreational Sport Facility,Construcción,N/A,,18.416638,-66.171669,MBAY056 Small Projects SP 10,PA-02-PR-4339-PW-05608,63228,56905,56905,6323,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,04/08/2020,Proyecto 428
20,107107.0,Parque Forestal Entrenamiento Canino (Canine Training Forest Park),Adquisición de construcción,,,18.324387,-66.198242,Forestal Park (Bayamón),PA-02-PR-4339-PW-05889,3232738,2909464,0,323274,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,06/01/2021,Proyecto 428
22,107107.0,Urban Area Streets,Construcción,N/A,,18.398005,-66.155469,MBAY084 Small Projects SP 34,PA-02-PR-4339-PW-05264,98858,88972,88972,9886,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,29/07/2020,Proyecto 428
24,107107.0,PARQUE FORESTAL PARQUE DE PELOTA (Baseball Park Forest Park),Adquisición de construcción,,,18.323748,-66.197964,Forestal Park (Bayamón),PA-02-PR-4339-PW-05889,3232738,2909464,0,323274,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,06/01/2021,Proyecto 428
26,107107.0,Disaster and Pre Hospital Medicine (DIPHOM) - Vehicles,Construcción,N/A,,18.39708,-66.15457,MBAY095 Small Projects SP 46,PA-02-PR-4339-PW-05952,112896,101606,101606,11290,Bayamón,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,28/07/2020,Proyecto 428
28,107107.0,Parque Forestal Arco y Flecha (Archery Range Forest Park),Adquisición de construcción,,,18.323286,-66.197715,Forestal Park (Bayamón),PA-02-PR-4339-PW-05889,3232738,2909464,0,323274,Bayamón,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,06/01/2021,Proyecto 428
30,107107.0,Disaster and Pre Hospital Medicine - DIPHOM,Construcción,N/A,,18.39708,-66.15457,MBAY095 Small Projects SP 46,PA-02-PR-4339-PW-05952,112896,101606,101606,11290,Bayamón,Huracán María (4339),Municipios,Categoría E - Edificios y equipo,Pequeño,28/07/2020,Proyecto 428
32,107107.0,Municipal Light Poles,Construcción,95,"Route #2 Km 11.0 Casa Alcaldia,  Bayamon , Puerto Rico, 00960-0000",18.39616,-66.15561,Multiple Site Street Luminaries Replacement - (Bayamón),PA-02-PR-4339-PW-08505,1369574,1232617,0,136957,Bayamón,Huracán María (4339),Municipios,Categoría F - Servicio Básico,Grande,23/04/2021,Proyecto 428
34,107107.0,PR 186 LOMAS SECTOR RIO ABAJO,Construcción,N/A,,18.27528,-65.88968,MCAN048 Sector Rio Abajo Road,PA-02-PR-4339-PW-07543,117142,105428,105428,11714,Canóvanas,Huracán María (4339),Municipios,Categoría C - Carreteras y puentes,Pequeño,25/01/2021,Proyecto 428
36,107107.0,(Tsunami Alarm Beach)Altavoz Balneario de Carolina,Completado,,,18.445422,-66.003577,MCAR165 Tsunami Alarms Carolina (Municipio),PA-02-PR-4339-PW-01395,311480,280332,208133,31148,Carolina,Huracán María (4339),Municipios,Categoría F - Servicio Básico,Grande,13/08/2019,Proyecto 428
38,107107.0,(Tsunami Alarm)Altavoz Servicios Municipales Isla Verde,Completado,,,18.441755,-66.024722,MCAR165 Tsunami Alarms Carolina (Municipio),PA-02-PR-4339-PW-01395,311480,280332,208133,31148,Carolina,Huracán María (4339),Municipios,Categoría F - Servicio Básico,Grande,13/08/2019,Proyecto 428
40,107107.0,Puerto Real Basketball Court,Adquisición de construcción,,"PR-308 Calle 2, Cabo Rojo, Puerto Rico, 00623",18.077073,-67.190018,MCAB007-Puerto Real Basketball Court,PA-02-PR-4339-PW-01942,181584,163425,13001,18159,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,28/04/2022,Proyecto 406
42,107107.0,Conde Avila Basketball Court,Completado,,,18.115356,-67.169363,MCAB036 - Cabo Rojo Fences and Lights,PA-02-PR-4339-PW-02649,25599,23039,23039,2560,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,28/04/2022,Proyecto 406
44,107107.0,Los Martinez Basketball Court,Adquisición de construcción,,,18.055456,-67.156789,MCAB020 - Multiple Facilities 1,PA-02-PR-4339-PW-03294,74125,66712,66712,7413,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Pequeño,12/05/2022,Proyecto 406
46,107107.0,Rebekah Colberg Tennis Court,Construcción,20,,18.08066,-67.146452,MCAB006 - Rebekah Colberg Tennis Courts,PA-02-PR-4339-PW-02264,237032,213329,53332,23703,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,26/08/2022,Proyecto 406
48,107107.0,Rebekah Colberg Recreational Area,Adquisición de construcción,,,18.078989,-67.146953,MCAB035 - R Colberg Recreational Area and baseball training ,PA-02-PR-4339-PW-03172,191288,172159,17668,19129,Cabo Rojo,Huracán María (4339),Municipios,"Categoría G - Parques, instalaciones recreativas y otros",Grande,28/04/2022,Proyecto 406
